timestamp    message 
1697602047   vdev.c:718:vdev_alloc(): get ops sucessful
1697602047   vdev.c:744:vdev_alloc(): <2>
1697602047   vdev.c:745:vdev_alloc(): root
1697602047   vdev.c:752:vdev_alloc(): non-root
1697602047   vdev.c:764:vdev_alloc(): next step
1697602047   vdev.c:792:vdev_alloc(): <2.5>
1697602047   vdev.c:805:vdev_alloc(): <3>
1697602047   vdev.c:841:vdev_alloc(): <4>
1697602047   vdev.c:915:vdev_alloc(): <5>
1697602047   vdev.c:718:vdev_alloc(): get ops sucessful
1697602047   vdev.c:744:vdev_alloc(): <2>
1697602047   vdev.c:745:vdev_alloc(): raidz
1697602047   vdev.c:752:vdev_alloc(): non-root
1697602047   vdev.c:764:vdev_alloc(): next step
1697602047   vdev.c:792:vdev_alloc(): <2.5>
1697602047   vdev.c:805:vdev_alloc(): <3>
1697602047   vdev.c:841:vdev_alloc(): <4>
1697602047   vdev.c:915:vdev_alloc(): <5>
1697602047   vdev.c:718:vdev_alloc(): get ops sucessful
1697602047   vdev.c:744:vdev_alloc(): <2>
1697602047   vdev.c:745:vdev_alloc(): file
1697602047   vdev.c:752:vdev_alloc(): non-root
1697602047   vdev.c:764:vdev_alloc(): next step
1697602047   vdev.c:792:vdev_alloc(): <2.5>
1697602047   vdev.c:805:vdev_alloc(): <3>
1697602047   vdev.c:841:vdev_alloc(): <4>
1697602047   vdev.c:915:vdev_alloc(): <5>
1697602047   vdev.c:718:vdev_alloc(): get ops sucessful
1697602047   vdev.c:744:vdev_alloc(): <2>
1697602047   vdev.c:745:vdev_alloc(): file
1697602047   vdev.c:752:vdev_alloc(): non-root
1697602047   vdev.c:764:vdev_alloc(): next step
1697602047   vdev.c:792:vdev_alloc(): <2.5>
1697602047   vdev.c:805:vdev_alloc(): <3>
1697602047   vdev.c:841:vdev_alloc(): <4>
1697602047   vdev.c:915:vdev_alloc(): <5>
1697602047   vdev.c:718:vdev_alloc(): get ops sucessful
1697602047   vdev.c:744:vdev_alloc(): <2>
1697602047   vdev.c:745:vdev_alloc(): file
1697602047   vdev.c:752:vdev_alloc(): non-root
1697602047   vdev.c:764:vdev_alloc(): next step
1697602047   vdev.c:792:vdev_alloc(): <2.5>
1697602047   vdev.c:805:vdev_alloc(): <3>
